* Altium Designer Pick and Place Report
* relay_4ch - 4-Channel Mains Relay Board Reference Design
* Date: 2024-01-01
* PCB Size: 120mm x 60mm (4.724" x 2.362")
* Units: mm
* 
Designator,Mid X,Mid Y,Layer,Rotation,Value,Package
J1,5.00,45.00,Top,0,MCU_HEADER_1X6,HDR_1X6_2.54MM
U1,15.00,48.00,Top,0,PC817,DIP-4
U2,15.00,40.00,Top,0,PC817,DIP-4
U3,15.00,32.00,Top,0,PC817,DIP-4
U4,15.00,24.00,Top,0,PC817,DIP-4
U5,30.00,35.00,Top,0,ULN2803A,DIP-18
K1,60.00,48.00,Top,0,SRD-05VDC-SL-C,RELAY_SRD
K2,75.00,48.00,Top,0,SRD-05VDC-SL-C,RELAY_SRD
K3,90.00,48.00,Top,0,SRD-05VDC-SL-C,RELAY_SRD
K4,105.00,48.00,Top,0,SRD-05VDC-SL-C,RELAY_SRD
PS1,55.00,35.00,Top,0,NME0505SC,SIP-4
RV1,70.00,10.00,Top,0,MOV_14D471K,MOV_14MM
F1,80.00,10.00,Top,0,FUSE_5x20,FUSE_5X20
F2,90.00,10.00,Top,0,FUSE_5x20,FUSE_5X20
F3,100.00,10.00,Top,0,FUSE_5x20,FUSE_5X20
F4,110.00,10.00,Top,0,FUSE_5x20,FUSE_5X20
SN1,65.00,38.00,Top,0,SNUBBER_RC,SNUBBER_RC
SN2,80.00,38.00,Top,0,SNUBBER_RC,SNUBBER_RC
SN3,95.00,38.00,Top,0,SNUBBER_RC,SNUBBER_RC
SN4,110.00,38.00,Top,0,SNUBBER_RC,SNUBBER_RC
D1,60.00,28.00,Top,0,LED,LED_3MM
D2,75.00,28.00,Top,0,LED,LED_3MM
D3,90.00,28.00,Top,0,LED,LED_3MM
D4,105.00,28.00,Top,0,LED,LED_3MM
R1,58.00,28.00,Top,90,1K,RES_0603
R2,73.00,28.00,Top,90,1K,RES_0603
R3,88.00,28.00,Top,90,1K,RES_0603
R4,103.00,28.00,Top,90,1K,RES_0603
R5,10.00,48.00,Top,0,330R,RES_0603
R6,10.00,40.00,Top,0,330R,RES_0603
R7,10.00,32.00,Top,0,330R,RES_0603
R8,10.00,24.00,Top,0,330R,RES_0603
J2,60.00,5.00,Top,0,TERMINAL_BLOCK_2P,TERM_2P_5.08MM
J3,70.00,55.00,Top,0,TERMINAL_BLOCK_3P,TERM_3P_5.08MM
J4,85.00,55.00,Top,0,TERMINAL_BLOCK_3P,TERM_3P_5.08MM
J5,100.00,55.00,Top,0,TERMINAL_BLOCK_3P,TERM_3P_5.08MM
J6,115.00,55.00,Top,0,TERMINAL_BLOCK_3P,TERM_3P_5.08MM
TP1,8.00,55.00,Top,0,VCC_3V3,TEST_POINT
TP2,12.00,55.00,Top,0,GND,TEST_POINT
TP3,55.00,30.00,Top,0,VCOIL_5V_ISO,TEST_POINT
TP4,60.00,42.00,Top,0,K1_COIL,TEST_POINT
TP5,75.00,42.00,Top,0,K2_COIL,TEST_POINT
TP6,90.00,42.00,Top,0,K3_COIL,TEST_POINT
TP7,105.00,42.00,Top,0,K4_COIL,TEST_POINT
SJ1,45.00,30.00,Top,0,GND-ISO,SOLDER_JUMPER
C1,35.00,35.00,Top,0,100uF,CAP_ELEC_6.3MM
C2,50.00,30.00,Top,0,100uF,CAP_ELEC_6.3MM
C3,37.00,35.00,Top,0,100nF,CAP_0603
C4,52.00,30.00,Top,0,100nF,CAP_0603
