Designator,Quantity,Description,Value,Footprint,Manufacturer,Part Number,Notes
J1,1,6-Pin Header 2.54mm,MCU Interface,HEADER_6P_2.54mm,Generic,HEADER-1x6-2.54,3.3V/GND/IN1-IN4
U1,1,4-pin Optocoupler DIP,PC817,PC817_DIP4,Sharp,PC817X4NSZ0F,Channel 1 isolation
U2,1,4-pin Optocoupler DIP,PC817,PC817_DIP4,Sharp,PC817X4NSZ0F,Channel 2 isolation
U3,1,4-pin Optocoupler DIP,PC817,PC817_DIP4,Sharp,PC817X4NSZ0F,Channel 3 isolation
U4,1,4-pin Optocoupler DIP,PC817,PC817_DIP4,Sharp,PC817X4NSZ0F,Channel 4 isolation
R1,1,SMD Resistor 0805,470R,RES_0805,Generic,RC0805JR-07470RL,LED current limit U1
R2,1,SMD Resistor 0805,470R,RES_0805,Generic,RC0805JR-07470RL,LED current limit U2
R3,1,SMD Resistor 0805,470R,RES_0805,Generic,RC0805JR-07470RL,LED current limit U3
R4,1,SMD Resistor 0805,470R,RES_0805,Generic,RC0805JR-07470RL,LED current limit U4
R5,1,SMD Resistor 0805,10K,RES_0805,Generic,RC0805JR-0710KL,Pull-up U1
R6,1,SMD Resistor 0805,10K,RES_0805,Generic,RC0805JR-0710KL,Pull-up U2
R7,1,SMD Resistor 0805,10K,RES_0805,Generic,RC0805JR-0710KL,Pull-up U3
R8,1,SMD Resistor 0805,10K,RES_0805,Generic,RC0805JR-0710KL,Pull-up U4
U5,1,8-Channel Darlington Driver DIP-18,ULN2803A,ULN2803A_DIP18,Texas Instruments,ULN2803AN,Using 4 channels
U6,1,Isolated DC-DC Converter 3.3V-5V 1W,NME0503SC,NME0505SC_SIP4,Murata,NME0503SC,Isolation voltage 1kVDC 3.3V input
K1,1,5V SPDT Relay 10A,SRD-05VDC-SL-C,SRD_05VDC_SL_C,Songle,SRD-05VDC-SL-C,Channel 1
K2,1,5V SPDT Relay 10A,SRD-05VDC-SL-C,SRD_05VDC_SL_C,Songle,SRD-05VDC-SL-C,Channel 2
K3,1,5V SPDT Relay 10A,SRD-05VDC-SL-C,SRD_05VDC_SL_C,Songle,SRD-05VDC-SL-C,Channel 3
K4,1,5V SPDT Relay 10A,SRD-05VDC-SL-C,SRD_05VDC_SL_C,Songle,SRD-05VDC-SL-C,Channel 4
RV1,1,Metal Oxide Varistor 14mm,14D471K,MOV_14D,Generic,14D471K,275VAC 430V clamp
F1,1,5x20mm Glass Fuse 10A 250V,10A,FUSE_5x20_HOLDER,Generic,FUSE-5x20-10A,Channel 1 protection
F2,1,5x20mm Glass Fuse 10A 250V,10A,FUSE_5x20_HOLDER,Generic,FUSE-5x20-10A,Channel 2 protection
F3,1,5x20mm Glass Fuse 10A 250V,10A,FUSE_5x20_HOLDER,Generic,FUSE-5x20-10A,Channel 3 protection
F4,1,5x20mm Glass Fuse 10A 250V,10A,FUSE_5x20_HOLDER,Generic,FUSE-5x20-10A,Channel 4 protection
C1,1,X2 Safety Capacitor,100nF 275VAC,CAP_X2_15mm,KEMET,R46KN310000N1M,Snubber CH1
C2,1,X2 Safety Capacitor,100nF 275VAC,CAP_X2_15mm,KEMET,R46KN310000N1M,Snubber CH2
C3,1,X2 Safety Capacitor,100nF 275VAC,CAP_X2_15mm,KEMET,R46KN310000N1M,Snubber CH3
C4,1,X2 Safety Capacitor,100nF 275VAC,CAP_X2_15mm,KEMET,R46KN310000N1M,Snubber CH4
R9,1,MELF Resistor 2W,100R,RES_MELF_0207,Generic,ERD-S2TJ101,Snubber CH1
R10,1,MELF Resistor 2W,100R,RES_MELF_0207,Generic,ERD-S2TJ101,Snubber CH2
R11,1,MELF Resistor 2W,100R,RES_MELF_0207,Generic,ERD-S2TJ101,Snubber CH3
R12,1,MELF Resistor 2W,100R,RES_MELF_0207,Generic,ERD-S2TJ101,Snubber CH4
D1,1,SMD LED 0805 Green,Green,LED_0805,Generic,LTST-C171GKT,Status CH1
D2,1,SMD LED 0805 Green,Green,LED_0805,Generic,LTST-C171GKT,Status CH2
D3,1,SMD LED 0805 Green,Green,LED_0805,Generic,LTST-C171GKT,Status CH3
D4,1,SMD LED 0805 Green,Green,LED_0805,Generic,LTST-C171GKT,Status CH4
R13,1,SMD Resistor 0805,1K,RES_0805,Generic,RC0805JR-071KL,LED limit D1
R14,1,SMD Resistor 0805,1K,RES_0805,Generic,RC0805JR-071KL,LED limit D2
R15,1,SMD Resistor 0805,1K,RES_0805,Generic,RC0805JR-071KL,LED limit D3
R16,1,SMD Resistor 0805,1K,RES_0805,Generic,RC0805JR-071KL,LED limit D4
J2,1,2-Position Screw Terminal 5.08mm,Mains Input,TERMINAL_2P_5.08mm,Phoenix Contact,MKDS 1.5/2-5.08,L/N mains input
J3,1,3-Position Screw Terminal 5.08mm,CH1 Output,TERMINAL_3P_5.08mm,Phoenix Contact,MKDS 1.5/3-5.08,NC/COM/NO
J4,1,3-Position Screw Terminal 5.08mm,CH2 Output,TERMINAL_3P_5.08mm,Phoenix Contact,MKDS 1.5/3-5.08,NC/COM/NO
